Job Title,Company Name,Required Skills,Location,Industry,Job Type,Experience Level,Posting Date,Salary Range
Digital Marketing Specialist,Facebook,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Remote,Tech,Contract,Mid-level,2022-10-12,100k-120k
Social Media Manager,Tesla,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Austin,Marketing,Internship,Mid-level,2023-01-23,60k-80k
Accountant,Google,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Austin,Education,Contract,Senior,2023-11-25,100k-120k
Investment Analyst,Amazon,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Berlin,Education,Internship,Senior,2021-12-24,120k-150k
Customer Support Specialist,Tesla,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Austin,E-commerce,Internship,Mid-level,2022-05-16,120k-150k
Project Manager,Adobe,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",New York,Education,Full-Time,Entry-level,2024-03-06,150k-200k
Project Manager,Accenture,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",London,Consulting,Part-Time,Entry-level,2023-02-27,150k-200k
Full-Stack Developer,Netflix,"['JavaScript', 'React', 'Node.js', 'SQL']",New York,Consulting,Full-Time,Entry-level,2022-02-17,80k-100k
Data Scientist,Salesforce,"['Python', 'R', 'Machine Learning', 'Statistics']",New York,Education,Full-Time,Mid-level,2022-09-05,150k-200k
Project Manager,Facebook,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Seattle,Consulting,Contract,Mid-level,2023-10-06,80k-100k
Social Media Manager,Tesla,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",New York,Manufacturing,Internship,Mid-level,2024-06-05,100k-120k
Social Media Manager,Tesla,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Berlin,Finance,Part-Time,Senior,2023-01-04,120k-150k
Financial Analyst,Tesla,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Chicago,Manufacturing,Full-Time,Mid-level,2022-03-03,100k-120k
Full-Stack Developer,Tesla,"['JavaScript', 'React', 'Node.js', 'SQL']",Austin,E-commerce,Full-Time,Entry-level,2022-10-21,100k-120k
Business Intelligence Analyst,Salesforce,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Chicago,E-commerce,Internship,Mid-level,2022-05-07,60k-80k
Financial Analyst,Tesla,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Berlin,Consulting,Contract,Senior,2022-11-23,60k-80k
Front-End Developer,Microsoft,"['HTML', 'CSS', 'JavaScript', 'React']",London,Marketing,Full-Time,Entry-level,2022-08-22,60k-80k
Investment Analyst,Tesla,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",London,Marketing,Full-Time,Mid-level,2024-08-22,100k-120k
Data Analyst,Google,"['Python', 'SQL', 'Tableau', 'Excel']",New York,Education,Contract,Mid-level,2023-05-11,80k-100k
Financial Analyst,Amazon,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Toronto,Tech,Part-Time,Senior,2022-04-24,60k-80k
Back-End Developer,Netflix,"['Node.js', 'Python', 'SQL', 'API Development']",Chicago,Tech,Full-Time,Senior,2024-03-01,60k-80k
Digital Marketing Specialist,Tesla,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Chicago,Manufacturing,Internship,Mid-level,2023-08-04,120k-150k
Data Analyst,Microsoft,"['Python', 'SQL', 'Tableau', 'Excel']",Austin,Consulting,Full-Time,Entry-level,2024-03-02,100k-120k
Full-Stack Developer,Tesla,"['JavaScript', 'React', 'Node.js', 'SQL']",London,Manufacturing,Internship,Senior,2022-11-13,100k-120k
Software Engineer,Tesla,"['Java', 'Python', 'C++', 'AWS']",New York,Education,Part-Time,Entry-level,2022-07-15,100k-120k
Digital Marketing Specialist,Amazon,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",San Francisco,Tech,Part-Time,Mid-level,2023-01-21,150k-200k
Recruitment Specialist,Facebook,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",New York,E-commerce,Contract,Entry-level,2024-04-22,120k-150k
Full-Stack Developer,Microsoft,"['JavaScript', 'React', 'Node.js', 'SQL']",Chicago,Healthcare,Part-Time,Senior,2022-12-09,80k-100k
Product Manager,Tesla,"['Agile', 'Scrum', 'Leadership', 'Communication']",San Francisco,Finance,Part-Time,Mid-level,2024-01-13,100k-120k
Investment Analyst,Google,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Remote,Education,Part-Time,Entry-level,2022-09-02,120k-150k
Project Manager,Netflix,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Berlin,Healthcare,Full-Time,Mid-level,2024-04-25,100k-120k
Data Scientist,Google,"['Python', 'R', 'Machine Learning', 'Statistics']",Austin,Tech,Part-Time,Entry-level,2021-12-16,100k-120k
Software Engineer,Facebook,"['Java', 'Python', 'C++', 'AWS']",Toronto,Manufacturing,Internship,Mid-level,2023-02-07,150k-200k
Software Engineer,Google,"['Java', 'Python', 'C++', 'AWS']",Chicago,Marketing,Contract,Senior,2022-04-06,100k-120k
Back-End Developer,Facebook,"['Node.js', 'Python', 'SQL', 'API Development']",Sydney,Finance,Full-Time,Entry-level,2022-10-28,150k-200k
Project Manager,Google,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Chicago,Marketing,Part-Time,Entry-level,2023-05-10,120k-150k
Digital Marketing Specialist,Microsoft,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",New York,Finance,Full-Time,Entry-level,2024-04-17,80k-100k
Business Intelligence Analyst,Microsoft,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Seattle,Marketing,Part-Time,Senior,2022-04-26,80k-100k
Data Scientist,Adobe,"['Python', 'R', 'Machine Learning', 'Statistics']",Seattle,Manufacturing,Internship,Senior,2022-08-03,150k-200k
SEO Analyst,Netflix,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,Healthcare,Part-Time,Mid-level,2023-04-14,150k-200k
Full-Stack Developer,Microsoft,"['JavaScript', 'React', 'Node.js', 'SQL']",London,Marketing,Part-Time,Senior,2023-09-09,120k-150k
Data Analyst,Salesforce,"['Python', 'SQL', 'Tableau', 'Excel']",Austin,E-commerce,Full-Time,Mid-level,2024-07-06,60k-80k
Investment Analyst,Facebook,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Austin,Marketing,Full-Time,Senior,2022-04-23,150k-200k
Customer Success Manager,Netflix,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Seattle,Healthcare,Contract,Entry-level,2021-11-03,60k-80k
Software Engineer,IBM,"['Java', 'Python', 'C++', 'AWS']",Seattle,Healthcare,Internship,Entry-level,2023-03-31,150k-200k
Data Scientist,Tesla,"['Python', 'R', 'Machine Learning', 'Statistics']",Remote,Education,Full-Time,Senior,2023-10-03,120k-150k
Back-End Developer,Microsoft,"['Node.js', 'Python', 'SQL', 'API Development']",Chicago,E-commerce,Contract,Entry-level,2024-08-03,120k-150k
Financial Analyst,Salesforce,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Austin,Education,Full-Time,Entry-level,2024-07-11,60k-80k
Talent Acquisition,Google,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Chicago,Manufacturing,Part-Time,Mid-level,2023-06-10,100k-120k
Social Media Manager,Google,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Austin,Finance,Internship,Senior,2021-12-28,80k-100k
Investment Analyst,Tesla,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Seattle,Consulting,Internship,Mid-level,2023-02-17,150k-200k
Social Media Manager,Netflix,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Austin,E-commerce,Part-Time,Mid-level,2023-07-13,100k-120k
Back-End Developer,Microsoft,"['Node.js', 'Python', 'SQL', 'API Development']",Toronto,Education,Internship,Mid-level,2023-06-29,100k-120k
Data Analyst,Accenture,"['Python', 'SQL', 'Tableau', 'Excel']",San Francisco,Healthcare,Contract,Entry-level,2023-06-27,60k-80k
Back-End Developer,Google,"['Node.js', 'Python', 'SQL', 'API Development']",San Francisco,Healthcare,Full-Time,Entry-level,2023-03-08,60k-80k
Full-Stack Developer,Accenture,"['JavaScript', 'React', 'Node.js', 'SQL']",New York,Education,Full-Time,Entry-level,2023-03-10,60k-80k
Project Manager,Accenture,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Remote,E-commerce,Contract,Entry-level,2022-03-28,120k-150k
Customer Support Specialist,Google,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Chicago,Education,Full-Time,Entry-level,2022-06-19,80k-100k
Talent Acquisition,Salesforce,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Toronto,Healthcare,Part-Time,Entry-level,2022-04-26,150k-200k
Recruitment Specialist,Accenture,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",San Francisco,Marketing,Full-Time,Mid-level,2024-05-24,80k-100k
Back-End Developer,Adobe,"['Node.js', 'Python', 'SQL', 'API Development']",Remote,Tech,Full-Time,Entry-level,2022-10-29,150k-200k
Recruitment Specialist,Salesforce,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Seattle,E-commerce,Contract,Mid-level,2022-08-13,150k-200k
Back-End Developer,Facebook,"['Node.js', 'Python', 'SQL', 'API Development']",Seattle,Tech,Full-Time,Mid-level,2023-01-14,150k-200k
Talent Acquisition,Salesforce,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Seattle,Education,Part-Time,Senior,2024-01-01,60k-80k
Software Engineer,IBM,"['Java', 'Python', 'C++', 'AWS']",Seattle,Finance,Part-Time,Mid-level,2023-10-24,100k-120k
Investment Analyst,Tesla,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Seattle,Finance,Full-Time,Mid-level,2022-03-11,120k-150k
Customer Support Specialist,Microsoft,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Austin,Education,Contract,Entry-level,2023-09-06,80k-100k
Investment Analyst,Adobe,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Austin,Education,Full-Time,Senior,2022-07-22,150k-200k
Product Manager,Tesla,"['Agile', 'Scrum', 'Leadership', 'Communication']",San Francisco,Manufacturing,Part-Time,Mid-level,2023-10-11,120k-150k
Data Scientist,Accenture,"['Python', 'R', 'Machine Learning', 'Statistics']",New York,Marketing,Full-Time,Senior,2022-02-08,80k-100k
Back-End Developer,Facebook,"['Node.js', 'Python', 'SQL', 'API Development']",Toronto,Tech,Full-Time,Entry-level,2022-06-20,120k-150k
Front-End Developer,Salesforce,"['HTML', 'CSS', 'JavaScript', 'React']",Toronto,Education,Full-Time,Entry-level,2024-04-16,150k-200k
SEO Analyst,Amazon,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Toronto,Consulting,Contract,Mid-level,2024-04-15,120k-150k
Investment Analyst,Facebook,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Berlin,Tech,Internship,Mid-level,2022-07-28,80k-100k
Front-End Developer,Google,"['HTML', 'CSS', 'JavaScript', 'React']",Chicago,Finance,Part-Time,Senior,2024-07-31,100k-120k
Financial Analyst,Google,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Toronto,Marketing,Contract,Mid-level,2022-10-04,120k-150k
Back-End Developer,Salesforce,"['Node.js', 'Python', 'SQL', 'API Development']",Austin,Finance,Full-Time,Mid-level,2022-06-21,150k-200k
Project Manager,Salesforce,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Berlin,Consulting,Internship,Entry-level,2023-07-02,100k-120k
Project Manager,Amazon,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Seattle,E-commerce,Full-Time,Senior,2022-04-08,80k-100k
Project Manager,IBM,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Sydney,Consulting,Contract,Entry-level,2021-11-06,150k-200k
Technical Product Manager,Google,"['Agile', 'Technical Writing', 'API', 'Software Development']",Sydney,Tech,Internship,Senior,2024-09-03,80k-100k
HR Manager,Google,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Toronto,Education,Part-Time,Senior,2022-08-11,100k-120k
Product Manager,Google,"['Agile', 'Scrum', 'Leadership', 'Communication']",Sydney,Marketing,Part-Time,Mid-level,2024-05-24,60k-80k
Recruitment Specialist,Google,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Chicago,Education,Internship,Mid-level,2023-04-23,80k-100k
Full-Stack Developer,Salesforce,"['JavaScript', 'React', 'Node.js', 'SQL']",Berlin,Manufacturing,Contract,Entry-level,2022-10-31,150k-200k
Customer Success Manager,Google,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Sydney,E-commerce,Contract,Mid-level,2024-09-02,120k-150k
Investment Analyst,Netflix,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Toronto,Manufacturing,Part-Time,Mid-level,2021-11-24,120k-150k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",London,Healthcare,Full-Time,Mid-level,2022-06-20,100k-120k
HR Manager,Salesforce,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",London,Marketing,Contract,Senior,2022-03-08,60k-80k
Project Manager,Netflix,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Sydney,Consulting,Part-Time,Senior,2024-04-15,60k-80k
Accountant,Tesla,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Toronto,Tech,Part-Time,Senior,2024-06-07,100k-120k
Software Engineer,Amazon,"['Java', 'Python', 'C++', 'AWS']",Austin,Consulting,Full-Time,Mid-level,2023-07-25,120k-150k
Social Media Manager,IBM,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",New York,Education,Part-Time,Mid-level,2023-02-15,150k-200k
Software Engineer,Microsoft,"['Java', 'Python', 'C++', 'AWS']",Remote,E-commerce,Full-Time,Entry-level,2023-01-17,120k-150k
Talent Acquisition,Adobe,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Berlin,Finance,Full-Time,Mid-level,2024-05-25,80k-100k
Social Media Manager,Adobe,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Chicago,Finance,Part-Time,Mid-level,2022-03-08,100k-120k
Social Media Manager,Facebook,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Sydney,Tech,Contract,Mid-level,2023-02-10,80k-100k
Data Scientist,Microsoft,"['Python', 'R', 'Machine Learning', 'Statistics']",Berlin,Healthcare,Full-Time,Entry-level,2022-06-22,100k-120k
Financial Analyst,IBM,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Toronto,Consulting,Internship,Senior,2024-09-17,80k-100k
Customer Success Manager,Microsoft,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Chicago,E-commerce,Internship,Entry-level,2023-08-26,120k-150k
Back-End Developer,IBM,"['Node.js', 'Python', 'SQL', 'API Development']",Seattle,Tech,Full-Time,Entry-level,2023-01-04,150k-200k
Project Manager,Adobe,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Remote,Consulting,Internship,Entry-level,2022-02-18,100k-120k
Business Intelligence Analyst,Salesforce,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Remote,Healthcare,Full-Time,Entry-level,2023-06-13,100k-120k
SEO Analyst,Google,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,E-commerce,Full-Time,Entry-level,2024-06-07,60k-80k
Project Manager,Tesla,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",London,E-commerce,Internship,Mid-level,2022-02-13,150k-200k
Business Intelligence Analyst,Netflix,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Toronto,Marketing,Full-Time,Mid-level,2023-10-14,150k-200k
Data Scientist,Accenture,"['Python', 'R', 'Machine Learning', 'Statistics']",New York,E-commerce,Part-Time,Senior,2022-10-16,120k-150k
Recruitment Specialist,Tesla,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Austin,Consulting,Contract,Mid-level,2024-06-26,120k-150k
Recruitment Specialist,Microsoft,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Toronto,E-commerce,Part-Time,Entry-level,2024-09-10,120k-150k
Project Manager,Salesforce,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",Toronto,Education,Part-Time,Senior,2023-10-08,60k-80k
Technical Product Manager,IBM,"['Agile', 'Technical Writing', 'API', 'Software Development']",Austin,Healthcare,Full-Time,Entry-level,2024-04-18,80k-100k
HR Manager,Salesforce,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Austin,Education,Part-Time,Entry-level,2022-05-04,100k-120k
Accountant,IBM,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Toronto,Education,Full-Time,Mid-level,2023-11-17,60k-80k
SEO Analyst,Google,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",New York,Tech,Full-Time,Mid-level,2021-12-22,120k-150k
Customer Support Specialist,Microsoft,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Seattle,Finance,Full-Time,Mid-level,2022-05-31,120k-150k
Data Scientist,Adobe,"['Python', 'R', 'Machine Learning', 'Statistics']",New York,Healthcare,Internship,Entry-level,2022-04-17,100k-120k
Software Engineer,Facebook,"['Java', 'Python', 'C++', 'AWS']",San Francisco,Tech,Internship,Entry-level,2022-01-19,100k-120k
Customer Support Specialist,Accenture,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",New York,Tech,Internship,Mid-level,2023-06-19,100k-120k
Talent Acquisition,Facebook,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Remote,Education,Part-Time,Entry-level,2024-09-04,80k-100k
SEO Analyst,Microsoft,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Chicago,Finance,Contract,Senior,2022-06-23,60k-80k
Financial Analyst,IBM,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Berlin,Manufacturing,Part-Time,Entry-level,2022-01-10,60k-80k
Social Media Manager,Facebook,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Remote,Consulting,Internship,Entry-level,2023-11-16,60k-80k
Customer Support Specialist,Accenture,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Toronto,Manufacturing,Contract,Senior,2022-04-29,120k-150k
Digital Marketing Specialist,Facebook,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",London,Finance,Contract,Senior,2021-12-14,60k-80k
Data Analyst,Google,"['Python', 'SQL', 'Tableau', 'Excel']",Seattle,Marketing,Contract,Senior,2021-12-14,150k-200k
Product Manager,Accenture,"['Agile', 'Scrum', 'Leadership', 'Communication']",London,E-commerce,Contract,Senior,2022-05-10,80k-100k
Accountant,IBM,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Remote,Finance,Part-Time,Entry-level,2023-06-14,80k-100k
Project Manager,Microsoft,"['Project Management', 'Agile', 'Risk Management', 'MS Project']",London,Manufacturing,Contract,Senior,2022-02-13,150k-200k
Customer Success Manager,Facebook,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Remote,Finance,Contract,Mid-level,2022-08-18,120k-150k
Full-Stack Developer,Netflix,"['JavaScript', 'React', 'Node.js', 'SQL']",Sydney,Education,Part-Time,Mid-level,2022-06-09,120k-150k
Digital Marketing Specialist,Facebook,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",London,Marketing,Internship,Entry-level,2024-05-20,60k-80k
Front-End Developer,Facebook,"['HTML', 'CSS', 'JavaScript', 'React']",San Francisco,E-commerce,Part-Time,Mid-level,2024-07-06,120k-150k
Talent Acquisition,Accenture,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Toronto,Education,Part-Time,Mid-level,2023-03-10,60k-80k
Accountant,Microsoft,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Berlin,Education,Full-Time,Entry-level,2022-12-05,60k-80k
Investment Analyst,IBM,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",San Francisco,Tech,Part-Time,Entry-level,2022-02-09,60k-80k
Data Scientist,Salesforce,"['Python', 'R', 'Machine Learning', 'Statistics']",Berlin,Marketing,Full-Time,Senior,2023-05-12,100k-120k
Product Manager,Tesla,"['Agile', 'Scrum', 'Leadership', 'Communication']",San Francisco,Marketing,Part-Time,Senior,2023-08-12,120k-150k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",San Francisco,Marketing,Internship,Entry-level,2023-05-21,100k-120k
Data Analyst,Netflix,"['Python', 'SQL', 'Tableau', 'Excel']",Chicago,Healthcare,Internship,Mid-level,2023-01-26,120k-150k
Customer Support Specialist,IBM,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Remote,Finance,Internship,Entry-level,2024-04-23,120k-150k
Data Analyst,Adobe,"['Python', 'SQL', 'Tableau', 'Excel']",Remote,Healthcare,Part-Time,Entry-level,2021-10-07,150k-200k
Social Media Manager,Tesla,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",San Francisco,Marketing,Internship,Senior,2023-08-21,60k-80k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Remote,E-commerce,Full-Time,Senior,2023-08-17,80k-100k
Data Analyst,Facebook,"['Python', 'SQL', 'Tableau', 'Excel']",London,E-commerce,Full-Time,Mid-level,2022-02-20,60k-80k
Data Scientist,Adobe,"['Python', 'R', 'Machine Learning', 'Statistics']",London,Consulting,Part-Time,Entry-level,2021-12-28,80k-100k
Business Intelligence Analyst,Google,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Sydney,Finance,Contract,Mid-level,2022-04-04,100k-120k
HR Manager,Google,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",Chicago,Marketing,Contract,Entry-level,2023-01-16,80k-100k
Full-Stack Developer,Accenture,"['JavaScript', 'React', 'Node.js', 'SQL']",San Francisco,Consulting,Contract,Mid-level,2023-09-11,100k-120k
SEO Analyst,Accenture,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",San Francisco,Marketing,Full-Time,Senior,2023-12-06,100k-120k
Investment Analyst,Accenture,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Sydney,Healthcare,Internship,Senior,2022-10-26,150k-200k
Accountant,Google,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Berlin,Marketing,Contract,Senior,2024-01-19,80k-100k
Digital Marketing Specialist,Adobe,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",San Francisco,Finance,Part-Time,Senior,2023-10-21,120k-150k
Data Analyst,Accenture,"['Python', 'SQL', 'Tableau', 'Excel']",Chicago,Consulting,Part-Time,Mid-level,2023-10-10,80k-100k
Digital Marketing Specialist,Google,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Toronto,Education,Contract,Entry-level,2022-11-20,100k-120k
Social Media Manager,Facebook,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Sydney,Marketing,Internship,Entry-level,2023-09-04,120k-150k
Back-End Developer,Microsoft,"['Node.js', 'Python', 'SQL', 'API Development']",Sydney,Healthcare,Contract,Entry-level,2024-06-25,80k-100k
Back-End Developer,Adobe,"['Node.js', 'Python', 'SQL', 'API Development']",Toronto,Tech,Part-Time,Senior,2023-03-29,100k-120k
Financial Analyst,Google,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",New York,Consulting,Contract,Mid-level,2024-08-05,100k-120k
Recruitment Specialist,Facebook,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Sydney,Consulting,Full-Time,Entry-level,2024-04-27,120k-150k
Financial Analyst,Facebook,"['Excel', 'Financial Modeling', 'Forecasting', 'Budgeting']",Toronto,Healthcare,Internship,Mid-level,2022-10-21,150k-200k
Software Engineer,Adobe,"['Java', 'Python', 'C++', 'AWS']",Sydney,Education,Full-Time,Mid-level,2022-08-24,120k-150k
Social Media Manager,Salesforce,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",Berlin,E-commerce,Full-Time,Entry-level,2024-05-13,80k-100k
Recruitment Specialist,Accenture,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Seattle,E-commerce,Full-Time,Mid-level,2022-04-20,60k-80k
SEO Analyst,Salesforce,"['SEO', 'Keyword Research', 'Google Analytics', 'Backlink Analysis']",Austin,Consulting,Part-Time,Senior,2023-01-18,120k-150k
Customer Success Manager,Google,"['Account Management', 'Client Relations', 'Upselling', 'CRM']",Seattle,Marketing,Contract,Senior,2021-11-05,120k-150k
Front-End Developer,Microsoft,"['HTML', 'CSS', 'JavaScript', 'React']",Chicago,Manufacturing,Full-Time,Senior,2023-06-15,100k-120k
HR Manager,Accenture,"['Recruitment', 'Performance Management', 'Employee Relations', 'HRIS']",New York,E-commerce,Contract,Mid-level,2021-11-25,150k-200k
Social Media Manager,Amazon,"['Content Creation', 'Facebook Ads', 'Instagram', 'Social Media Analytics']",New York,Education,Internship,Entry-level,2023-08-14,60k-80k
Investment Analyst,Google,"['Financial Modeling', 'Valuation', 'Portfolio Management', 'Excel']",Remote,Education,Full-Time,Mid-level,2022-10-23,80k-100k
Talent Acquisition,Netflix,"['Recruitment', 'Employer Branding', 'Candidate Experience', 'Negotiation']",Seattle,Education,Full-Time,Mid-level,2024-08-18,150k-200k
Front-End Developer,Amazon,"['HTML', 'CSS', 'JavaScript', 'React']",Seattle,Consulting,Full-Time,Mid-level,2022-04-08,150k-200k
Accountant,Adobe,"['QuickBooks', 'Tax Preparation', 'Financial Reporting', 'Excel']",Remote,E-commerce,Part-Time,Senior,2022-11-04,80k-100k
Full-Stack Developer,Facebook,"['JavaScript', 'React', 'Node.js', 'SQL']",New York,Tech,Part-Time,Senior,2024-03-17,120k-150k
Full-Stack Developer,Tesla,"['JavaScript', 'React', 'Node.js', 'SQL']",Toronto,Education,Internship,Mid-level,2022-07-31,80k-100k
Data Analyst,IBM,"['Python', 'SQL', 'Tableau', 'Excel']",San Francisco,Finance,Part-Time,Mid-level,2023-05-04,80k-100k
Business Intelligence Analyst,Adobe,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",San Francisco,Finance,Full-Time,Mid-level,2024-01-07,150k-200k
Product Manager,Facebook,"['Agile', 'Scrum', 'Leadership', 'Communication']",New York,Consulting,Part-Time,Mid-level,2023-10-09,100k-120k
Customer Support Specialist,Microsoft,"['Customer Service', 'CRM', 'Communication', 'Troubleshooting']",Remote,Tech,Internship,Senior,2023-10-31,150k-200k
Business Intelligence Analyst,Amazon,"['SQL', 'Power BI', 'Data Warehousing', 'Excel']",Berlin,Tech,Internship,Senior,2021-11-19,80k-100k
Digital Marketing Specialist,Tesla,"['SEO', 'Google Analytics', 'Content Marketing', 'PPC']",Sydney,Marketing,Part-Time,Senior,2022-01-05,60k-80k
Recruitment Specialist,Facebook,"['Talent Sourcing', 'Interviewing', 'ATS', 'Candidate Screening']",Chicago,Finance,Full-Time,Mid-level,2023-01-22,60k-80k
Software Engineer,Accenture,"['Java', 'Python', 'C++', 'AWS']",New York,Manufacturing,Internship,Entry-level,2024-06-21,120k-150k
Technical Product Manager,Salesforce,"['Agile', 'Technical Writing', 'API', 'Software Development']",Toronto,Marketing,Part-Time,Entry-level,2023-01-19,100k-120k
